instances,Frac_Neg_Body,Frac_Pos_Body,Frac_Unary_Rules,Frac_Binary_Rules,Frac_Ternary_Rules,Frac_Integrity_Rules,Tight,Problem_Variables,Free_Problem_Variables,Assigned_Problem_Variables,Constraints,Constraints/Vars,Created_Bodies,Program_Atoms,SCCS,Nodes_in_Positive_BADG,Rules,Normal_Rules,Cardinality_Rules,Choice_Rules,Weight_Rules,Frac_Normal_Rules,Frac_Cardinality_Rules,Frac_Choice_Rules,Frac_Weight_Rules,Equivalences,Atom-Atom_Equivalences,Body-Body_Equivalences,Other_Equivalences,Frac_Atom-Atom_Equivalences,Frac_Body-Body_Equivalences,Frac_Other_Equivalences,Binary_Constraints,Ternary_Constraints,Other_Constraints,Frac_Binary_Constraints,Frac_Ternary_Constraints,Frac_Other_Constraints
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_17_C4_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_17_C5_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_17_C6_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_17_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_17_C8_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_1_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,424.0,0.0,0.0,425.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_1_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,424.0,0.0,0.0,425.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_1_C3_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,424.0,0.0,0.0,425.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_1_C4_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,424.0,0.0,0.0,425.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_1_C5_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,424.0,0.0,0.0,425.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_1_C6_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,424.0,0.0,0.0,425.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_1_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,424.0,0.0,0.0,425.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_1_C8_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,424.0,0.0,0.0,425.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_2_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_2_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_2_C3_ce.asp.ground,0.2743,0.6923,0.0433,0.2825,0.6407,0.0208,1.0,3944.0,3054.0,890.0,8762.0,2.2216,24952.0,24547.0,0.0,0.0,53287.0,49399.0,3350.0,538.0,0.0,0.927,0.0629,0.0101,0.0,51622.0,9477.0,5307.0,36838.0,0.1836,0.1028,0.7136,5633.0,1793.0,1336.0,0.6429,0.2046,0.1525
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_2_C4_ce.asp.ground,0.278,0.6908,0.0435,0.2863,0.6366,0.0209,1.0,3942.0,3053.0,889.0,8754.0,2.2207,24759.0,24291.0,0.0,0.0,53029.0,49269.0,3222.0,538.0,0.0,0.9291,0.0608,0.0101,0.0,50534.0,9221.0,5117.0,36196.0,0.1825,0.1013,0.7163,5627.0,1793.0,1334.0,0.6428,0.2048,0.1524
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_2_C5_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_2_C6_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_2_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_2_C8_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_3_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_3_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_4_C1_ce.asp.ground,0.3011,0.6539,0.0499,0.2588,0.6569,0.0244,1.0,7918.0,6403.0,1515.0,18259.0,2.306,38955.0,41382.0,0.0,0.0,80757.0,73755.0,6058.0,944.0,0.0,0.9133,0.075,0.0117,0.0,95761.0,17050.0,9564.0,69147.0,0.178,0.0999,0.7221,11775.0,3865.0,2619.0,0.6449,0.2117,0.1434
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_4_C2_ce.asp.ground,0.3036,0.6528,0.0501,0.2612,0.6543,0.0245,1.0,7916.0,6402.0,1514.0,18251.0,2.3056,38698.0,41126.0,0.0,0.0,80499.0,73625.0,5930.0,944.0,0.0,0.9146,0.0737,0.0117,0.0,94417.0,16794.0,9245.0,68378.0,0.1779,0.0979,0.7242,11769.0,3865.0,2617.0,0.6448,0.2118,0.1434
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_4_C3_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_4_C4_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_4_C5_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_4_C6_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_4_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_4_C8_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_5_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_5_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_5_C3_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_5_C4_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_5_C5_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_5_C6_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_5_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_5_C8_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_6_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_6_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_6_C3_ce.asp.ground,0.1771,0.6101,0.034,0.1658,0.5871,0.0185,1.0,42876.0,38821.0,4055.0,106469.0,2.4832,154093.0,177729.0,0.0,0.0,307937.0,272621.0,32750.0,2566.0,0.0,0.8853,0.1064,0.0083,0.0,456329.0,71472.0,37943.0,346914.0,0.1566,0.0831,0.7602,67549.0,24894.0,14026.0,0.6344,0.2338,0.1317
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_6_C4_ce.asp.ground,0.1777,0.6098,0.034,0.1664,0.5864,0.0185,1.0,42874.0,38820.0,4054.0,106461.0,2.4831,153900.0,177473.0,0.0,0.0,307679.0,272491.0,32622.0,2566.0,0.0,0.8856,0.106,0.0083,0.0,455241.0,71216.0,37753.0,346272.0,0.1564,0.0829,0.7606,67543.0,24894.0,14024.0,0.6344,0.2338,0.1317
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_6_C5_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_6_C6_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_6_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_6_C8_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_7_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_7_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_8_C1_ce.asp.ground,0.1985,0.5981,0.0392,0.163,0.6014,0.0174,1.0,62172.0,57018.0,5154.0,156388.0,2.5154,213238.0,253064.0,0.0,0.0,424057.0,373281.0,47530.0,3246.0,0.0,0.8803,0.1121,0.0077,0.0,659879.0,103523.0,53133.0,503223.0,0.1569,0.0805,0.7626,99263.0,36772.0,20353.0,0.6347,0.2351,0.1301
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_8_C2_ce.asp.ground,0.1989,0.5978,0.0392,0.1634,0.6008,0.0174,1.0,62170.0,57017.0,5153.0,156380.0,2.5154,212981.0,252808.0,0.0,0.0,423799.0,373151.0,47402.0,3246.0,0.0,0.8805,0.1119,0.0077,0.0,658535.0,103267.0,52814.0,502454.0,0.1568,0.0802,0.763,99257.0,36772.0,20351.0,0.6347,0.2351,0.1301
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_8_C3_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_8_C4_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_8_C5_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_8_C6_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_8_C7_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_8_C8_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_9_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_9_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,428.0,0.0,0.0,429.0,429.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_9_C3_ce.asp.ground,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_9_C4_ce.asp.ground,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_9_C5_ce.asp.ground,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_6_9_C6_ce.asp.ground,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_7_10_C1_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,424.0,0.0,0.0,425.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
instances/asp/data/riposte/sparkskein/ce/procedure_round_7_10_C2_ce.asp.ground,1.0,1.0,1.0,0.0,0.0,0.0047,1.0,0.0,0.0,0.0,0.0,0.0,1.0,424.0,0.0,0.0,425.0,425.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-512.0,-512.0,-512.0,-512.0,-512.0,-512.0
